date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:27	36992/36992	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Sep%202025%2002:23:22%20GMT	https://web.archive.org/web/20210402140622js_/https://kfbl.webs.com/cdn-cgi/bm/cv/669835187/api.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140622js_/https_/kfbl.webs.com/cdn-cgi/bm/cv/669835187/api.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:28	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:23%20GMT	https://web.archive.org/web/20210402140616im_/https://mediaprocessor.websimages.com/fit/1920x1920/kfbl.webs.com/KFBLLOGO.PNG	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616im_/https_/mediaprocessor.websimages.com/fit/1920x1920/kfbl.webs.com/KFBLLOGO.PNG	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:29	128723/128723	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2002:23:24%20GMT	https://web.archive.org/web/20210402140634im_/https://mediaprocessor.websimages.com/fit/1920x1920/kfbl.webs.com/KFBLLOGO.PNG	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140634im_/https_/mediaprocessor.websimages.com/fit/1920x1920/kfbl.webs.com/KFBLLOGO.png	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:24%20GMT	https://web.archive.org/web/20210402140616/https://kfbl.webs.com/betting	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616/https_/kfbl.webs.com/betting	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:25%20GMT	https://web.archive.org/web/20210402140616/https://kfbl.webs.com/rankings	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616/https_/kfbl.webs.com/rankings	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:25%20GMT	https://web.archive.org/web/20210402140616/https://kfbl.webs.com/media	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616/https_/kfbl.webs.com/media	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:26%20GMT	https://web.archive.org/web/20210402140616/https://kfbl.webs.com/members	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616/https_/kfbl.webs.com/members	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:26%20GMT	https://web.archive.org/web/20210402140616im_/https://mediaprocessor.websimages.com/width/330/crop/0,10,330x394/kfbl.webs.com/viber_image_2021-02-25_08-23-54.jpg	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616im_/https_/mediaprocessor.websimages.com/width/330/crop/0,10,330x394/kfbl.webs.com/viber_image_2021-02-25_08-23-54.jpg	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:32	85274/85274	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Sep%202025%2002:23:27%20GMT	https://web.archive.org/web/20210402140633im_/https://mediaprocessor.websimages.com/width/330/crop/0,10,330x394/kfbl.webs.com/viber_image_2021-02-25_08-23-54.jpg	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140633im_/https_/mediaprocessor.websimages.com/width/330/crop/0,10,330x394/kfbl.webs.com/viber_image_2021-02-25_08-23-54.jpg	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:30%20GMT	https://web.archive.org/web/20210402140616im_/https://mediaprocessor.websimages.com/width/330/crop/0,12,330x393/kfbl.webs.com/viber_image_2021-02-25_08-23-55.jpg	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616im_/https_/mediaprocessor.websimages.com/width/330/crop/0,12,330x393/kfbl.webs.com/viber_image_2021-02-25_08-23-55.jpg	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
